For rank 1, there are 279 occurrences
For rank 2, there are 242 occurrences
For rank 3, there are 212 occurrences
For rank 4, there are 208 occurrences
For rank 5, there are 186 occurrences
For rank 6, there are 164 occurrences
For rank 7, there are 131 occurrences
For rank 8, there are 140 occurrences
For rank 9, there are 123 occurrences
For rank 10, there are 98 occurrences
For rank 11, there are 115 occurrences
For rank 12, there are 115 occurrences
For rank 13, there are 84 occurrences
For rank 14, there are 93 occurrences
For rank 15, there are 71 occurrences
For rank 16, there are 77 occurrences
For rank 17, there are 72 occurrences
For rank 18, there are 78 occurrences
For rank 19, there are 89 occurrences
For rank 20, there are 77 occurrences
For rank 21, there are 62 occurrences
For rank 22, there are 48 occurrences
For rank 23, there are 64 occurrences
For rank 24, there are 57 occurrences
For rank 25, there are 65 occurrences
For rank 26, there are 49 occurrences
For rank 27, there are 47 occurrences
For rank 28, there are 49 occurrences
For rank 29, there are 54 occurrences
For rank 30, there are 45 occurrences
For rank 31, there are 52 occurrences
For rank 32, there are 53 occurrences
For rank 33, there are 43 occurrences
For rank 34, there are 41 occurrences
For rank 35, there are 51 occurrences
For rank 36, there are 49 occurrences
For rank 37, there are 41 occurrences
For rank 38, there are 33 occurrences
For rank 39, there are 42 occurrences
For rank 40, there are 35 occurrences
For rank 41, there are 40 occurrences
For rank 42, there are 39 occurrences
For rank 43, there are 24 occurrences
For rank 44, there are 28 occurrences
For rank 45, there are 41 occurrences
For rank 46, there are 31 occurrences
For rank 47, there are 34 occurrences
For rank 48, there are 38 occurrences
For rank 49, there are 32 occurrences
For rank 50, there are 37 occurrences
For rank 51, there are 28 occurrences
For rank 52, there are 21 occurrences
For rank 53, there are 29 occurrences
For rank 54, there are 22 occurrences
For rank 55, there are 25 occurrences
For rank 56, there are 28 occurrences
For rank 57, there are 13 occurrences
For rank 58, there are 18 occurrences
For rank 59, there are 20 occurrences
For rank 60, there are 20 occurrences
For rank 61, there are 20 occurrences
For rank 62, there are 19 occurrences
For rank 63, there are 24 occurrences
For rank 64, there are 14 occurrences
For rank 65, there are 19 occurrences
For rank 66, there are 27 occurrences
For rank 67, there are 23 occurrences
For rank 68, there are 20 occurrences
For rank 69, there are 21 occurrences
For rank 70, there are 16 occurrences
For rank 71, there are 15 occurrences
For rank 72, there are 5 occurrences
For rank 73, there are 23 occurrences
For rank 74, there are 19 occurrences
For rank 75, there are 15 occurrences
For rank 76, there are 20 occurrences
For rank 77, there are 17 occurrences
For rank 78, there are 12 occurrences
For rank 79, there are 13 occurrences
For rank 80, there are 13 occurrences
For rank 81, there are 13 occurrences
For rank 82, there are 10 occurrences
For rank 83, there are 12 occurrences
For rank 84, there are 15 occurrences
For rank 85, there are 13 occurrences
For rank 86, there are 16 occurrences
For rank 87, there are 18 occurrences
For rank 88, there are 14 occurrences
For rank 89, there are 11 occurrences
For rank 90, there are 10 occurrences
For rank 91, there are 20 occurrences
For rank 92, there are 16 occurrences
For rank 93, there are 11 occurrences
For rank 94, there are 16 occurrences
For rank 95, there are 10 occurrences
For rank 96, there are 9 occurrences
For rank 97, there are 19 occurrences
For rank 98, there are 13 occurrences
For rank 99, there are 14 occurrences
For rank 100, there are 6 occurrences
For rank 101, there are 15 occurrences
For rank 102, there are 9 occurrences
For rank 103, there are 12 occurrences
For rank 104, there are 12 occurrences
For rank 105, there are 11 occurrences
For rank 106, there are 12 occurrences
For rank 107, there are 12 occurrences
For rank 108, there are 13 occurrences
For rank 109, there are 10 occurrences
For rank 110, there are 8 occurrences
For rank 111, there are 10 occurrences
For rank 112, there are 5 occurrences
For rank 113, there are 15 occurrences
For rank 114, there are 18 occurrences
For rank 115, there are 13 occurrences
For rank 116, there are 14 occurrences
For rank 117, there are 7 occurrences
For rank 118, there are 8 occurrences
For rank 119, there are 3 occurrences
For rank 120, there are 17 occurrences
For rank 121, there are 13 occurrences
For rank 122, there are 9 occurrences
For rank 123, there are 9 occurrences
For rank 124, there are 13 occurrences
For rank 125, there are 9 occurrences
For rank 126, there are 9 occurrences
For rank 127, there are 10 occurrences
For rank 128, there are 7 occurrences
For rank 129, there are 10 occurrences
For rank 130, there are 5 occurrences
For rank 131, there are 5 occurrences
For rank 132, there are 13 occurrences
For rank 133, there are 12 occurrences
For rank 134, there are 10 occurrences
For rank 135, there are 8 occurrences
For rank 136, there are 10 occurrences
For rank 137, there are 15 occurrences
For rank 138, there are 10 occurrences
For rank 139, there are 13 occurrences
For rank 140, there are 8 occurrences
For rank 141, there are 13 occurrences
For rank 142, there are 6 occurrences
For rank 143, there are 11 occurrences
For rank 144, there are 8 occurrences
For rank 145, there are 5 occurrences
For rank 146, there are 12 occurrences
For rank 147, there are 5 occurrences
For rank 148, there are 8 occurrences
For rank 149, there are 8 occurrences
For rank 150, there are 9 occurrences
For rank 151, there are 10 occurrences
For rank 152, there are 9 occurrences
For rank 153, there are 6 occurrences
For rank 154, there are 12 occurrences
For rank 155, there are 10 occurrences
For rank 156, there are 2 occurrences
For rank 157, there are 8 occurrences
For rank 158, there are 10 occurrences
For rank 159, there are 6 occurrences
For rank 160, there are 8 occurrences
For rank 161, there are 9 occurrences
For rank 162, there are 4 occurrences
For rank 163, there are 4 occurrences
For rank 164, there are 7 occurrences
For rank 165, there are 7 occurrences
For rank 166, there are 5 occurrences
For rank 167, there are 9 occurrences
For rank 168, there are 6 occurrences
For rank 169, there are 5 occurrences
For rank 170, there are 4 occurrences
For rank 171, there are 1 occurrences
For rank 172, there are 5 occurrences
For rank 173, there are 7 occurrences
For rank 174, there are 9 occurrences
For rank 175, there are 12 occurrences
For rank 176, there are 7 occurrences
For rank 177, there are 8 occurrences
For rank 178, there are 5 occurrences
For rank 179, there are 8 occurrences
For rank 180, there are 6 occurrences
For rank 181, there are 6 occurrences
For rank 182, there are 13 occurrences
For rank 183, there are 5 occurrences
For rank 184, there are 9 occurrences
For rank 185, there are 6 occurrences
For rank 186, there are 10 occurrences
For rank 187, there are 8 occurrences
For rank 188, there are 3 occurrences
For rank 189, there are 5 occurrences
For rank 190, there are 7 occurrences
For rank 191, there are 3 occurrences
For rank 192, there are 8 occurrences
For rank 193, there are 5 occurrences
For rank 194, there are 6 occurrences
For rank 195, there are 8 occurrences
For rank 196, there are 8 occurrences
For rank 197, there are 4 occurrences
For rank 198, there are 5 occurrences
For rank 199, there are 9 occurrences
For rank 200, there are 6 occurrences
For rank 201, there are 1 occurrences
For rank 202, there are 5 occurrences
For rank 203, there are 3 occurrences
For rank 204, there are 5 occurrences
For rank 205, there are 1 occurrences
For rank 206, there are 8 occurrences
For rank 207, there are 4 occurrences
For rank 208, there are 3 occurrences
For rank 209, there are 4 occurrences
For rank 210, there are 8 occurrences
For rank 211, there are 6 occurrences
For rank 212, there are 5 occurrences
For rank 213, there are 11 occurrences
For rank 214, there are 5 occurrences
For rank 215, there are 7 occurrences
For rank 216, there are 8 occurrences
For rank 217, there are 4 occurrences
For rank 218, there are 4 occurrences
For rank 219, there are 5 occurrences
For rank 220, there are 2 occurrences
For rank 221, there are 3 occurrences
For rank 222, there are 3 occurrences
For rank 223, there are 2 occurrences
For rank 224, there are 3 occurrences
For rank 225, there are 4 occurrences
For rank 226, there are 5 occurrences
For rank 227, there are 4 occurrences
For rank 228, there are 4 occurrences
For rank 229, there are 6 occurrences
For rank 230, there are 2 occurrences
For rank 231, there are 6 occurrences
For rank 232, there are 4 occurrences
For rank 233, there are 2 occurrences
For rank 234, there are 2 occurrences
For rank 235, there are 4 occurrences
For rank 236, there are 5 occurrences
For rank 237, there are 5 occurrences
For rank 238, there are 4 occurrences
For rank 239, there are 6 occurrences
For rank 240, there are 3 occurrences
For rank 241, there are 3 occurrences
For rank 242, there are 8 occurrences
For rank 243, there are 4 occurrences
For rank 244, there are 2 occurrences
For rank 245, there are 5 occurrences
For rank 246, there are 2 occurrences
For rank 247, there are 5 occurrences
For rank 248, there are 4 occurrences
For rank 249, there are 4 occurrences
For rank 250, there are 2 occurrences
For rank 251, there are 2 occurrences
For rank 252, there are 6 occurrences
For rank 253, there are 1 occurrences
For rank 254, there are 1 occurrences
For rank 255, there are 2 occurrences
For rank 256, there are 5 occurrences
For rank 257, there are 4 occurrences
For rank 258, there are 4 occurrences
For rank 259, there are 2 occurrences
For rank 260, there are 3 occurrences
For rank 261, there are 3 occurrences
For rank 262, there are 3 occurrences
For rank 263, there are 3 occurrences
For rank 264, there are 4 occurrences
For rank 265, there are 2 occurrences
For rank 266, there are 6 occurrences
For rank 267, there are 0 occurrences
For rank 268, there are 1 occurrences
For rank 269, there are 1 occurrences
For rank 270, there are 9 occurrences
For rank 271, there are 2 occurrences
For rank 272, there are 4 occurrences
For rank 273, there are 6 occurrences
For rank 274, there are 1 occurrences
For rank 275, there are 4 occurrences
For rank 276, there are 5 occurrences
For rank 277, there are 3 occurrences
For rank 278, there are 4 occurrences
For rank 279, there are 4 occurrences
For rank 280, there are 3 occurrences
For rank 281, there are 3 occurrences
For rank 282, there are 0 occurrences
For rank 283, there are 2 occurrences
For rank 284, there are 2 occurrences
For rank 285, there are 4 occurrences
For rank 286, there are 4 occurrences
For rank 287, there are 2 occurrences
For rank 288, there are 1 occurrences
For rank 289, there are 5 occurrences
For rank 290, there are 0 occurrences
For rank 291, there are 4 occurrences
For rank 292, there are 4 occurrences
For rank 293, there are 4 occurrences
For rank 294, there are 1 occurrences
For rank 295, there are 8 occurrences
For rank 296, there are 3 occurrences
For rank 297, there are 4 occurrences
For rank 298, there are 1 occurrences
For rank 299, there are 1 occurrences
For rank 300, there are 8 occurrences
For rank 301, there are 2 occurrences
For rank 302, there are 6 occurrences
For rank 303, there are 5 occurrences
For rank 304, there are 6 occurrences
For rank 305, there are 3 occurrences
For rank 306, there are 2 occurrences
For rank 307, there are 0 occurrences
For rank 308, there are 1 occurrences
For rank 309, there are 3 occurrences
For rank 310, there are 2 occurrences
For rank 311, there are 2 occurrences
For rank 312, there are 4 occurrences
For rank 313, there are 8 occurrences
For rank 314, there are 0 occurrences
For rank 315, there are 3 occurrences
For rank 316, there are 5 occurrences
For rank 317, there are 1 occurrences
For rank 318, there are 3 occurrences
For rank 319, there are 3 occurrences
For rank 320, there are 3 occurrences
For rank 321, there are 3 occurrences
For rank 322, there are 2 occurrences
For rank 323, there are 3 occurrences
For rank 324, there are 0 occurrences
For rank 325, there are 3 occurrences
For rank 326, there are 4 occurrences
For rank 327, there are 2 occurrences
For rank 328, there are 1 occurrences
For rank 329, there are 4 occurrences
For rank 330, there are 2 occurrences
For rank 331, there are 4 occurrences
For rank 332, there are 1 occurrences
For rank 333, there are 3 occurrences
For rank 334, there are 2 occurrences
For rank 335, there are 1 occurrences
For rank 336, there are 3 occurrences
For rank 337, there are 3 occurrences
For rank 338, there are 3 occurrences
For rank 339, there are 7 occurrences
For rank 340, there are 1 occurrences
For rank 341, there are 1 occurrences
For rank 342, there are 2 occurrences
For rank 343, there are 1 occurrences
For rank 344, there are 1 occurrences
For rank 345, there are 1 occurrences
For rank 346, there are 3 occurrences
For rank 347, there are 1 occurrences
For rank 348, there are 4 occurrences
For rank 349, there are 5 occurrences
For rank 350, there are 2 occurrences
For rank 351, there are 2 occurrences
For rank 352, there are 5 occurrences
For rank 353, there are 2 occurrences
For rank 354, there are 4 occurrences
For rank 355, there are 0 occurrences
For rank 356, there are 1 occurrences
For rank 357, there are 4 occurrences
For rank 358, there are 4 occurrences
For rank 359, there are 2 occurrences
For rank 360, there are 3 occurrences
For rank 361, there are 1 occurrences
For rank 362, there are 3 occurrences
For rank 363, there are 0 occurrences
For rank 364, there are 1 occurrences
For rank 365, there are 2 occurrences
For rank 366, there are 0 occurrences
For rank 367, there are 0 occurrences
For rank 368, there are 4 occurrences
For rank 369, there are 4 occurrences
For rank 370, there are 4 occurrences
For rank 371, there are 3 occurrences
For rank 372, there are 3 occurrences
For rank 373, there are 4 occurrences
For rank 374, there are 4 occurrences
For rank 375, there are 10 occurrences
For rank 376, there are 5 occurrences
For rank 377, there are 1 occurrences
For rank 378, there are 3 occurrences
For rank 379, there are 8 occurrences
For rank 380, there are 2 occurrences
For rank 381, there are 1 occurrences
For rank 382, there are 0 occurrences
For rank 383, there are 1 occurrences
For rank 384, there are 2 occurrences
For rank 385, there are 2 occurrences
For rank 386, there are 1 occurrences
For rank 387, there are 5 occurrences
For rank 388, there are 4 occurrences
For rank 389, there are 2 occurrences
For rank 390, there are 2 occurrences
For rank 391, there are 1 occurrences
For rank 392, there are 1 occurrences
For rank 393, there are 0 occurrences
For rank 394, there are 3 occurrences
For rank 395, there are 1 occurrences
For rank 396, there are 1 occurrences
For rank 397, there are 5 occurrences
For rank 398, there are 0 occurrences
For rank 399, there are 0 occurrences
For rank 400, there are 1 occurrences
For rank 401, there are 0 occurrences
For rank 402, there are 1 occurrences
For rank 403, there are 2 occurrences
For rank 404, there are 0 occurrences
For rank 405, there are 5 occurrences
For rank 406, there are 2 occurrences
For rank 407, there are 1 occurrences
For rank 408, there are 1 occurrences
For rank 409, there are 1 occurrences
For rank 410, there are 1 occurrences
For rank 411, there are 2 occurrences
For rank 412, there are 1 occurrences
For rank 413, there are 4 occurrences
For rank 414, there are 2 occurrences
For rank 415, there are 2 occurrences
For rank 416, there are 1 occurrences
For rank 417, there are 3 occurrences
For rank 418, there are 3 occurrences
For rank 419, there are 2 occurrences
For rank 420, there are 4 occurrences
For rank 421, there are 1 occurrences
For rank 422, there are 0 occurrences
For rank 423, there are 3 occurrences
For rank 424, there are 2 occurrences
For rank 425, there are 2 occurrences
For rank 426, there are 1 occurrences
For rank 427, there are 0 occurrences
For rank 428, there are 1 occurrences
For rank 429, there are 1 occurrences
For rank 430, there are 0 occurrences
For rank 431, there are 2 occurrences
For rank 432, there are 2 occurrences
For rank 433, there are 2 occurrences
For rank 434, there are 2 occurrences
For rank 435, there are 2 occurrences
For rank 436, there are 1 occurrences
For rank 437, there are 0 occurrences
For rank 438, there are 1 occurrences
For rank 439, there are 1 occurrences
For rank 440, there are 5 occurrences
For rank 441, there are 1 occurrences
For rank 442, there are 3 occurrences
For rank 443, there are 5 occurrences
For rank 444, there are 3 occurrences
For rank 445, there are 1 occurrences
For rank 446, there are 1 occurrences
For rank 447, there are 0 occurrences
For rank 448, there are 1 occurrences
For rank 449, there are 5 occurrences
For rank 450, there are 1 occurrences
For rank 451, there are 2 occurrences
For rank 452, there are 2 occurrences
For rank 453, there are 3 occurrences
For rank 454, there are 1 occurrences
For rank 455, there are 2 occurrences
For rank 456, there are 1 occurrences
For rank 457, there are 0 occurrences
For rank 458, there are 3 occurrences
For rank 459, there are 0 occurrences
For rank 460, there are 2 occurrences
For rank 461, there are 1 occurrences
For rank 462, there are 1 occurrences
For rank 463, there are 2 occurrences
For rank 464, there are 0 occurrences
For rank 465, there are 0 occurrences
For rank 466, there are 5 occurrences
For rank 467, there are 0 occurrences
For rank 468, there are 7 occurrences
For rank 469, there are 2 occurrences
For rank 470, there are 1 occurrences
For rank 471, there are 1 occurrences
For rank 472, there are 2 occurrences
For rank 473, there are 3 occurrences
For rank 474, there are 2 occurrences
For rank 475, there are 2 occurrences
For rank 476, there are 4 occurrences
For rank 477, there are 0 occurrences
For rank 478, there are 1 occurrences
For rank 479, there are 1 occurrences
For rank 480, there are 0 occurrences
For rank 481, there are 2 occurrences
For rank 482, there are 3 occurrences
For rank 483, there are 1 occurrences
For rank 484, there are 1 occurrences
For rank 485, there are 1 occurrences
For rank 486, there are 0 occurrences
For rank 487, there are 2 occurrences
For rank 488, there are 2 occurrences
For rank 489, there are 1 occurrences
For rank 490, there are 0 occurrences
For rank 491, there are 1 occurrences
For rank 492, there are 1 occurrences
For rank 493, there are 1 occurrences
For rank 494, there are 1 occurrences
For rank 495, there are 2 occurrences
For rank 496, there are 1 occurrences
For rank 497, there are 0 occurrences
For rank 498, there are 1 occurrences
For rank 499, there are 1 occurrences
For rank 500, there are 1 occurrences
For rank 501, there are 2 occurrences
For rank 502, there are 0 occurrences
For rank 503, there are 1 occurrences
For rank 504, there are 2 occurrences
For rank 505, there are 1 occurrences
For rank 506, there are 0 occurrences
For rank 507, there are 3 occurrences
For rank 508, there are 0 occurrences
For rank 509, there are 0 occurrences
For rank 510, there are 3 occurrences
